bus,generator,connected
1,G1,1
1,G2,0
1,G3,0
1,G4,0
1,G5,0
1,G6,0
1,G7,0
1,G8,0
1,G9,0
1,G10,0
2,G1,0
2,G2,1
2,G3,0
2,G4,0
2,G5,0
2,G6,0
2,G7,0
2,G8,0
2,G9,0
2,G10,0
3,G1,0
3,G2,0
3,G3,0
3,G4,0
3,G5,0
3,G6,0
3,G7,0
3,G8,0
3,G9,0
3,G10,0
4,G1,0
4,G2,0
4,G3,0
4,G4,0
4,G5,0
4,G6,0
4,G7,0
4,G8,0
4,G9,0
4,G10,0
5,G1,0
5,G2,0
5,G3,0
5,G4,0
5,G5,0
5,G6,0
5,G7,0
5,G8,0
5,G9,0
5,G10,0
6,G1,0
6,G2,0
6,G3,0
6,G4,0
6,G5,0
6,G6,0
6,G7,0
6,G8,0
6,G9,0
6,G10,0
7,G1,0
7,G2,0
7,G3,1
7,G4,0
7,G5,0
7,G6,0
7,G7,0
7,G8,0
7,G9,0
7,G10,0
8,G1,0
8,G2,0
8,G3,0
8,G4,0
8,G5,0
8,G6,0
8,G7,0
8,G8,0
8,G9,0
8,G10,0
9,G1,0
9,G2,0
9,G3,0
9,G4,0
9,G5,0
9,G6,0
9,G7,0
9,G8,0
9,G9,0
9,G10,0
10,G1,0
10,G2,0
10,G3,0
10,G4,0
10,G5,0
10,G6,0
10,G7,0
10,G8,0
10,G9,0
10,G10,0
11,G1,0
11,G2,0
11,G3,0
11,G4,0
11,G5,0
11,G6,0
11,G7,0
11,G8,0
11,G9,0
11,G10,0
12,G1,0
12,G2,0
12,G3,0
12,G4,0
12,G5,0
12,G6,0
12,G7,0
12,G8,0
12,G9,0
12,G10,0
13,G1,0
13,G2,0
13,G3,0
13,G4,1
13,G5,0
13,G6,0
13,G7,0
13,G8,0
13,G9,0
13,G10,0
14,G1,0
14,G2,0
14,G3,0
14,G4,0
14,G5,0
14,G6,0
14,G7,0
14,G8,0
14,G9,0
14,G10,0
15,G1,0
15,G2,0
15,G3,0
15,G4,0
15,G5,1
15,G6,0
15,G7,0
15,G8,0
15,G9,0
15,G10,0
16,G1,0
16,G2,0
16,G3,0
16,G4,0
16,G5,0
16,G6,1
16,G7,0
16,G8,0
16,G9,0
16,G10,0
17,G1,0
17,G2,0
17,G3,0
17,G4,0
17,G5,0
17,G6,0
17,G7,0
17,G8,0
17,G9,0
17,G10,0
18,G1,0
18,G2,0
18,G3,0
18,G4,0
18,G5,0
18,G6,0
18,G7,1
18,G8,0
18,G9,0
18,G10,0
19,G1,0
19,G2,0
19,G3,0
19,G4,0
19,G5,0
19,G6,0
19,G7,0
19,G8,0
19,G9,0
19,G10,0
20,G1,0
20,G2,0
20,G3,0
20,G4,0
20,G5,0
20,G6,0
20,G7,0
20,G8,0
20,G9,0
20,G10,0
21,G1,0
21,G2,0
21,G3,0
21,G4,0
21,G5,0
21,G6,0
21,G7,0
21,G8,1
21,G9,0
21,G10,0
22,G1,0
22,G2,0
22,G3,0
22,G4,0
22,G5,0
22,G6,0
22,G7,0
22,G8,0
22,G9,1
22,G10,0
23,G1,0
23,G2,0
23,G3,0
23,G4,0
23,G5,0
23,G6,0
23,G7,0
23,G8,0
23,G9,0
23,G10,1
24,G1,0
24,G2,0
24,G3,0
24,G4,0
24,G5,0
24,G6,0
24,G7,0
24,G8,0
24,G9,0
24,G10,0
