line,from_bus,to_bus,r,x,b,limit_mw
L1,1,2,0.0026,0.0139,0.4611,175
L2,1,3,0.0546,0.2112,0.0572,175
L3,1,5,0.0218,0.0845,0.0229,175
L4,2,4,0.0328,0.1267,0.0343,175
L5,2,6,0.0497,0.192,0.052,175
L6,3,9,0.0308,0.119,0.0322,175
L7,3,24,0.0023,0.0839,0,400
L8,4,9,0.0268,0.1037,0.0281,175
L9,5,10,0.0228,0.0883,0.0239,175
L10,6,10,0.0139,0.0605,2.459,175
L11,7,8,0.0159,0.0614,0.0166,175
L12,8,9,0.0427,0.1651,0.0447,175
L13,8,10,0.0427,0.1651,0.0447,175
L14,9,11,0.0023,0.0839,0,400
L15,9,12,0.0023,0.0839,0,400
L16,10,11,0.0023,0.0839,0,400
L17,10,12,0.0023,0.0839,0,400
L18,11,13,0.0061,0.0476,0.0999,500
L19,11,14,0.0054,0.0418,0.0879,500
L20,12,13,0.0061,0.0476,0.0999,500
L21,12,23,0.0124,0.0966,0.203,500
L22,13,23,0.0111,0.0865,0.1818,500
L23,14,16,0.005,0.0389,0.0818,500
L24,15,16,0.0022,0.0173,0.0364,500
L25,15,21,0.00315,0.0245,0.206,1000
L26,15,24,0.0067,0.0519,0.1091,500
L27,16,17,0.0033,0.0259,0.0545,500
L28,16,19,0.003,0.0231,0.0485,500
L29,17,18,0.0018,0.0144,0.0303,500
L30,17,22,0.0135,0.1053,0.2212,500
L31,18,21,0.00165,0.01295,0.109,1000
L32,19,20,0.00255,0.0198,0.1666,1000
L33,20,23,0.0014,0.0108,0.091,1000
L34,21,22,0.0087,0.0678,0.1424,500
