bus,generator,connected
1,g1,0
1,g2,0
1,g3,1
1,g4,0
1,g5,0
1,g6,0
1,g7,0
1,g8,0
1,g9,0
1,g10,0
1,g11,0
1,g12,0
2,g1,0
2,g2,0
2,g3,0
2,g4,1
2,g5,0
2,g6,0
2,g7,0
2,g8,0
2,g9,0
2,g10,0
2,g11,0
2,g12,0
3,g1,0
3,g2,0
3,g3,0
3,g4,0
3,g5,0
3,g6,0
3,g7,0
3,g8,0
3,g9,0
3,g10,0
3,g11,0
3,g12,0
4,g1,0
4,g2,0
4,g3,0
4,g4,0
4,g5,0
4,g6,0
4,g7,0
4,g8,0
4,g9,0
4,g10,0
4,g11,0
4,g12,0
5,g1,0
5,g2,0
5,g3,0
5,g4,0
5,g5,0
5,g6,0
5,g7,0
5,g8,0
5,g9,0
5,g10,0
5,g11,0
5,g12,0
6,g1,0
6,g2,0
6,g3,0
6,g4,0
6,g5,0
6,g6,0
6,g7,0
6,g8,0
6,g9,0
6,g10,0
6,g11,0
6,g12,0
7,g1,0
7,g2,0
7,g3,0
7,g4,0
7,g5,0
7,g6,0
7,g7,0
7,g8,0
7,g9,1
7,g10,0
7,g11,0
7,g12,0
8,g1,0
8,g2,0
8,g3,0
8,g4,0
8,g5,0
8,g6,0
8,g7,0
8,g8,0
8,g9,0
8,g10,0
8,g11,0
8,g12,0
9,g1,0
9,g2,0
9,g3,0
9,g4,0
9,g5,0
9,g6,0
9,g7,0
9,g8,0
9,g9,0
9,g10,0
9,g11,0
9,g12,0
10,g1,0
10,g2,0
10,g3,0
10,g4,0
10,g5,0
10,g6,0
10,g7,0
10,g8,0
10,g9,0
10,g10,0
10,g11,0
10,g12,0
11,g1,0
11,g2,0
11,g3,0
11,g4,0
11,g5,0
11,g6,0
11,g7,0
11,g8,0
11,g9,0
11,g10,0
11,g11,0
11,g12,0
12,g1,0
12,g2,0
12,g3,0
12,g4,0
12,g5,0
12,g6,0
12,g7,0
12,g8,0
12,g9,0
12,g10,0
12,g11,0
12,g12,0
13,g1,0
13,g2,0
13,g3,0
13,g4,0
13,g5,0
13,g6,0
13,g7,0
13,g8,0
13,g9,0
13,g10,1
13,g11,0
13,g12,0
14,g1,0
14,g2,0
14,g3,0
14,g4,0
14,g5,0
14,g6,0
14,g7,0
14,g8,0
14,g9,0
14,g10,0
14,g11,0
14,g12,0
15,g1,0
15,g2,0
15,g3,0
15,g4,0
15,g5,1
15,g6,0
15,g7,0
15,g8,0
15,g9,0
15,g10,0
15,g11,1
15,g12,0
16,g1,0
16,g2,0
16,g3,0
16,g4,0
16,g5,0
16,g6,1
16,g7,0
16,g8,0
16,g9,0
16,g10,0
16,g11,0
16,g12,0
17,g1,0
17,g2,0
17,g3,0
17,g4,0
17,g5,0
17,g6,0
17,g7,0
17,g8,0
17,g9,0
17,g10,0
17,g11,0
17,g12,0
18,g1,1
18,g2,0
18,g3,0
18,g4,0
18,g5,0
18,g6,0
18,g7,0
18,g8,0
18,g9,0
18,g10,0
18,g11,0
18,g12,0
19,g1,0
19,g2,0
19,g3,0
19,g4,0
19,g5,0
19,g6,0
19,g7,0
19,g8,0
19,g9,0
19,g10,0
19,g11,0
19,g12,0
20,g1,0
20,g2,0
20,g3,0
20,g4,0
20,g5,0
20,g6,0
20,g7,0
20,g8,0
20,g9,0
20,g10,0
20,g11,0
20,g12,0
21,g1,0
21,g2,1
21,g3,0
21,g4,0
21,g5,0
21,g6,0
21,g7,0
21,g8,0
21,g9,0
21,g10,0
21,g11,0
21,g12,0
22,g1,0
22,g2,0
22,g3,0
22,g4,0
22,g5,0
22,g6,0
22,g7,0
22,g8,0
22,g9,0
22,g10,0
22,g11,0
22,g12,1
23,g1,0
23,g2,0
23,g3,0
23,g4,0
23,g5,0
23,g6,0
23,g7,1
23,g8,1
23,g9,0
23,g10,0
23,g11,0
23,g12,0
24,g1,0
24,g2,0
24,g3,0
24,g4,0
24,g5,0
24,g6,0
24,g7,0
24,g8,0
24,g9,0
24,g10,0
24,g11,0
24,g12,0
