line,from_bus,to_bus,r,x,b,limit_mw,bij
L1,1,2,0.0026,0.0139,0.4611,175,71.94244604316548
L2,1,3,0.0546,0.2112,0.0572,175,4.734848484848485
L3,1,5,0.0218,0.0845,0.0229,175,11.834319526627219
L4,2,4,0.0328,0.1267,0.0343,175,7.892659826361483
L5,2,6,0.0497,0.192,0.052,175,5.208333333333333
L6,3,9,0.0308,0.119,0.0322,175,8.403361344537815
L7,3,24,0.0023,0.0839,0,400,11.918951132300357
L8,4,9,0.0268,0.1037,0.0281,175,9.643201542912246
L9,5,10,0.0228,0.0883,0.0239,175,11.325028312570781
L10,6,10,0.0139,0.0605,2.459,175,16.528925619834713
L11,7,8,0.0159,0.0614,0.0166,175,16.286644951140065
L12,8,9,0.0427,0.1651,0.0447,175,6.0569351907934585
L13,8,10,0.0427,0.1651,0.0447,175,6.0569351907934585
L14,9,11,0.0023,0.0839,0,400,11.918951132300357
L15,9,12,0.0023,0.0839,0,400,11.918951132300357
L16,10,11,0.0023,0.0839,0,400,11.918951132300357
L17,10,12,0.0023,0.0839,0,400,11.918951132300357
L18,11,13,0.0061,0.0476,0.0999,500,21.008403361344538
L19,11,14,0.0054,0.0418,0.0879,500,23.923444976076556
L20,12,13,0.0061,0.0476,0.0999,500,21.008403361344538
L21,12,23,0.0124,0.0966,0.203,500,10.351966873706004
L22,13,23,0.0111,0.0865,0.1818,500,11.560693641618498
L23,14,16,0.005,0.0389,0.0818,500,25.706940874035993
L24,15,16,0.0022,0.0173,0.0364,500,57.80346820809249
L25,15,21,0.00315,0.0245,0.206,1000,40.816326530612244
L26,15,24,0.0067,0.0519,0.1091,500,19.267822736030826
L27,16,17,0.0033,0.0259,0.0545,500,38.61003861003861
L28,16,19,0.003,0.0231,0.0485,500,43.29004329004329
L29,17,18,0.0018,0.0144,0.0303,500,69.44444444444444
L30,17,22,0.0135,0.1053,0.2212,500,9.49667616334283
L31,18,21,0.00165,0.01295,0.109,1000,77.22007722007721
L32,19,20,0.00255,0.0198,0.1666,1000,50.5050505050505
L33,20,23,0.0014,0.0108,0.091,1000,92.59259259259258
L34,21,22,0.0087,0.0678,0.1424,500,14.749262536873157
