bus,basekv,bus_type,mw_load,area,lat,lng
bus_101,138.0,PV,108.0,1,33.3961032628,-113.835641977
bus_102,138.0,PV,97.0,1,33.3576784424,-113.825933492
bus_103,138.0,PQ,180.0,1,33.5368328224,-114.670399127
bus_104,138.0,PQ,74.0,1,33.8123035235,-113.825419052
bus_105,138.0,PQ,71.0,1,33.6595598392,-113.999023095
bus_106,138.0,PQ,136.0,1,33.7380364461,-114.181924176
bus_107,138.0,PV,125.0,1,34.6972619565,-113.701308807
bus_108,138.0,PQ,171.0,1,34.4592107958,-113.761643582
bus_109,138.0,PQ,175.0,1,33.9204362729,-114.308280962
bus_110,138.0,PQ,195.0,1,33.91279307,-114.292964553
bus_111,230.0,PQ,0.0,1,33.9043860736,-114.301117722
bus_112,230.0,PQ,0.0,1,33.9108660143,-114.313402427
bus_113,230.0,Ref,265.0,1,34.3542803354,-114.274656952
bus_114,230.0,PV,194.0,1,33.7770860921,-114.819911267
bus_115,230.0,PV,317.0,1,33.5061837182,-115.329508431
bus_116,230.0,PV,100.0,1,33.661031241,-115.321058013
bus_117,230.0,PQ,0.0,1,33.5752325484,-115.640808726
bus_118,230.0,PV,333.0,1,33.5445308225,-115.799955998
bus_119,230.0,PQ,181.0,1,33.8690789137,-115.369130552
bus_120,230.0,PQ,128.0,1,34.2445785929,-115.262469926
bus_121,230.0,PV,0.0,1,33.5271214704,-116.070777995
bus_122,230.0,PV,0.0,1,32.8188640659,-116.324347339
bus_123,230.0,PV,0.0,1,34.382000271,-115.068788423
bus_124,230.0,PQ,0.0,1,33.5429650607,-114.656488278
bus_201,138.0,PV,108.0,2,36.2556635986,-113.721495941
bus_202,138.0,PV,97.0,2,36.2899625624,-113.745998474
bus_203,138.0,PQ,180.0,2,35.3544022625,-113.975933629
bus_204,138.0,PQ,74.0,2,36.1902923135,-114.221868153
bus_205,138.0,PQ,71.0,2,36.0792295088,-113.983041183
bus_206,138.0,PQ,136.0,2,35.787397173,-113.890346787
bus_207,138.0,PV,125.0,2,36.0524666349,-113.082849386
bus_208,138.0,PQ,171.0,2,35.9338142079,-113.317701119
bus_209,138.0,PQ,175.0,2,35.8051073259,-114.150832502
bus_210,138.0,PQ,195.0,2,35.7878234078,-114.162881451
bus_211,230.0,PQ,0.0,2,35.8014848281,-114.167551621
bus_212,230.0,PQ,0.0,2,35.7914453835,-114.146165073
bus_213,230.0,PV,265.0,2,36.1460954035,-114.622896434
bus_214,230.0,PV,194.0,2,35.5676111304,-114.492568426
bus_215,230.0,PV,317.0,2,35.148590889,-114.575774314
bus_216,230.0,PV,100.0,2,35.261489569,-114.730762649
bus_217,230.0,PQ,0.0,2,35.0877489009,-114.921163573
bus_218,230.0,PV,333.0,2,35.1149069391,-115.077882263
bus_219,230.0,PQ,181.0,2,35.4192172019,-114.979181721
bus_220,230.0,PQ,128.0,2,35.6466955481,-115.446586888
bus_221,230.0,PV,0.0,2,35.3163216007,-115.197942427
bus_222,230.0,PV,0.0,2,36.3309810416,-115.2902095
bus_223,230.0,PV,0.0,2,35.824349648,-115.536445586
bus_224,230.0,PQ,0.0,2,35.356437515,-113.960252513
bus_301,138.0,PV,108.0,3,35.0475821979,-118.821765372
bus_302,138.0,PV,97.0,3,35.0299368836,-118.86485954
bus_303,138.0,PQ,180.0,3,35.2175425288,-118.043549932
bus_304,138.0,PQ,74.0,3,34.6320914545,-118.563585314
bus_305,138.0,PQ,71.0,3,34.8738848798,-118.510487334
bus_306,138.0,PQ,136.0,3,34.8871676415,-118.276199699
bus_307,138.0,PV,125.0,3,34.1012656245,-118.878177963
bus_308,138.0,PQ,171.0,3,34.2247178422,-118.654257924
bus_309,138.0,PQ,175.0,3,34.7357579346,-118.127342032
bus_310,138.0,PQ,195.0,3,34.7293159072,-118.104524763
bus_311,230.0,PQ,0.0,3,34.7420938654,-118.111933172
bus_312,230.0,PQ,0.0,3,34.7229630722,-118.119887368
bus_313,230.0,PV,265.0,3,34.2652681351,-118.018855064
bus_314,230.0,PV,194.0,3,34.9449642304,-117.684879151
bus_315,230.0,PV,317.0,3,35.2659701248,-117.386433534
bus_316,230.0,PV,100.0,3,35.138367105,-117.25158864
bus_317,230.0,PQ,0.0,3,35.3784334079,-117.055829458
bus_318,230.0,PV,333.0,3,35.5058132288,-116.976571399
bus_319,230.0,PQ,181.0,3,34.9176311996,-117.124419518
bus_320,230.0,PQ,128.0,3,34.4624656255,-117.063508273
bus_321,230.0,PV,0.0,3,35.7453443807,-117.115362793
bus_322,230.0,PV,0.0,3,36.4389584791,-117.485271734
bus_323,230.0,PV,0.0,3,34.2530033694,-117.113221062
bus_324,230.0,PQ,0.0,3,35.2065818224,-118.034816846
bus_325,230.0,PQ,0.0,3,34.2518913135,-117.128977233
