gen,tech,area,lat,lng,capacity,cost_spur_usd_per_km_mw,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,system_capacity,capacity_factor
solar_9164,solar,1.0,34.6972619565,-115.91018336026316,1370.69,4582.887685702328,15000.0,228099.69,540.0,20.80076673898595
solar_4974,solar,1.0,33.90635758151053,-114.39158210489474,725.49,5015.97306034038,15000.0,151662.47,540.0,20.566563256377396
solar_1180,solar,1.0,33.609768440889475,-113.9774181261579,119.51,10881.386489607035,35000.0,415575.4,540.0,20.66093307534744
solar_8772,solar,1.0,34.59839890962632,-115.21991006236844,1262.43,4698.472227915261,15000.0,285082.16,540.0,20.827260532201606
solar_1938,solar,1.0,33.70863148776316,-115.91018336026316,413.56,5589.921430933224,35000.0,136194.78,540.0,21.006451738438415
solar_8406,solar,1.0,34.59839890962632,-115.63407404110526,381.67,13701.886610865902,35000.0,307217.75,540.0,20.52282248996236
solar_2696,solar,1.0,33.70863148776316,-114.5296367644737,975.34,5842.262500000001,15000.0,326046.84,540.0,20.23556579392014
solar_8402,solar,1.0,34.59839890962632,-116.18629267942106,800.57,5348.813514564577,35000.0,309062.75,540.0,20.779362880359272
solar_7637,solar,1.0,34.40067281587895,-116.0482380198421,115.64,8637.77394621809,15000.0,329703.16,540.0,20.97164538263398
solar_6877,solar,1.0,34.20294672213158,-114.39158210489474,243.36,14732.03952695499,35000.0,248843.27,540.0,20.323107440582152
wind_8770,wind,1.0,33.412042347142105,-113.9774181261579,276.0,4952.446145236453,35000.0,139822.95,3370.0,40.85052500898017
wind_3841,wind,1.0,32.91772711277368,-114.94380074321052,66.0,13922.127475281784,35000.0,317563.62,3370.0,32.903536507098664
wind_8026,wind,1.0,33.31317930026842,-113.701308807,126.0,13701.886610865902,35000.0,307217.75,3370.0,33.18933618191138
wind_3840,wind,1.0,32.91772711277368,-115.08185540278949,78.0,13494.356293888508,35000.0,257014.03,3370.0,29.86654403472681
wind_8775,wind,1.0,33.51090539401579,-116.0482380198421,108.0,5543.147302292982,15000.0,240732.22,3370.0,31.262503103984557
wind_9546,wind,1.0,33.609768440889475,-116.18629267942106,258.0,6730.409007429606,35000.0,228112.95,3370.0,31.322704717256308
wind_9926,wind,1.0,33.609768440889475,-115.7721287006842,288.0,5342.027528675423,35000.0,177124.89,3370.0,29.121414121724055
wind_5738,wind,1.0,33.01659015964737,-114.80574608363158,144.0,6033.371193415638,35000.0,185248.53,3370.0,45.67545565294453
wind_8011,wind,1.0,33.31317930026842,-115.63407404110526,228.0,5979.508496701373,15000.0,124354.65,3370.0,17.733234099813693
wind_6124,wind,1.0,33.11545320652105,-116.324347339,60.0,13854.580762104344,35000.0,376899.84,3370.0,52.26981609860366
solar_12188,solar,2.0,36.07376059869655,-114.48490435742858,1034.83,6176.704732336498,35000.0,345709.78,540.0,19.649696670386444
solar_6866,solar,2.0,35.773670081975865,-113.082849386,1975.87,3303.7093581362155,15000.0,163287.61,540.0,20.3644778352278
solar_12977,solar,2.0,36.202370820148275,-114.923046536,422.82,4648.62371364967,35000.0,365625.44,540.0,19.98129969611502
solar_11821,solar,2.0,36.07376059869655,-115.36118871457144,1895.69,4568.217359904856,35000.0,267489.94,540.0,20.33245961018209
solar_12954,solar,2.0,36.159500746331034,-114.13439061457144,216.79,9295.096465069715,35000.0,467371.66,540.0,19.79746766913336
solar_12568,solar,2.0,36.11663067251379,-114.74778966457144,907.88,7771.421293493865,35000.0,404530.84,540.0,19.391389919897858
solar_10302,solar,2.0,35.94515037724483,-113.95913374314286,774.09,5257.520563974944,35000.0,88726.28,540.0,20.206921077184717
