plant_id,max_capacity,capex_m,fom_m,trans_cap_cost
132876,430.68265,708.5485,8.29808,5323.33948
132875,33.12943,708.5485,8.29808,5404.7483
141559,5168.19175,708.5485,8.29808,5626.55078
134655,3809.88494,708.5485,8.29808,6409.82223
135800,2882.26078,708.5485,8.29808,7299.91443
141016,4406.21476,708.5485,8.29808,14836.09913
140433,298.16491,708.5485,8.29808,8838.30142
134052,66.25887,708.5485,8.29808,4946.08904
131153,6526.49855,708.5485,8.29808,17965.51187
135235,3312.94343,708.5485,8.29808,12176.76314
129443,17492.3413,708.5485,8.29808,15788.14999
142109,6095.81591,708.5485,8.29808,16674.52087
135239,14875.11599,708.5485,8.29808,15459.64244
141561,1921.50719,708.5485,8.29808,17711.23458
139860,21997.94436,708.5485,8.29808,15533.34052
134053,4439.34419,708.5485,8.29808,16775.54889
134054,7056.5695,708.5485,8.29808,19330.02287
105646,265.03547,708.5485,8.29808,12927.01552
132877,6460.23968,708.5485,8.29808,22393.46689
141566,2981.64909,708.5485,8.29808,21482.06989
106203,331.29434,708.5485,8.29808,10769.37997
132878,596.32982,708.5485,8.29808,22393.46689
142114,1656.47171,708.5485,8.29808,20726.38493
142112,33.12943,708.5485,8.29808,22773.86269
141565,28557.57235,708.5485,8.29808,21812.02512
127272,1225.78907,708.5485,8.29808,17210.13274
130582,4141.17928,708.5485,8.29808,24911.87754
141015,27033.61838,708.5485,8.29808,25748.82597
138109,34222.70561,708.5485,8.29808,21048.52327
131149,3147.29626,708.5485,8.29808,17045.17926
136365,16001.51676,708.5485,8.29808,21585.78603
135254,1060.1419,708.5485,8.29808,21747.85821
135804,14709.46882,708.5485,8.29808,19129.4115
141560,13417.42088,708.5485,8.29808,20168.30126
132879,99.3883,708.5485,8.29808,25568.50028
141007,1258.9185,708.5485,8.29808,22550.99382
122399,8779.30009,708.5485,8.29808,17607.20054
134661,2186.54266,708.5485,8.29808,23697.57556
131125,3346.07286,708.5485,8.29808,3066.9664
132308,10236.99519,708.5485,8.29808,22311.72255
139855,1060.1419,708.5485,8.29808,19010.92476
135808,22859.30966,708.5485,8.29808,18994.79399
140436,28789.47839,708.5485,8.29808,22438.84509
136936,430.68265,708.5485,8.29808,21665.42172
141568,25045.85232,708.5485,8.29808,28639.4956
141004,3776.75551,708.5485,8.29808,20714.90607
131732,132.51774,708.5485,8.29808,27930.17072
134651,132.51774,708.5485,8.29808,15784.32706
145282,1093.27133,708.5485,8.29808,639.8634
150913,9309.37103,708.5485,8.29808,14654.40726
140432,5565.74496,708.5485,8.29808,17387.03588
126219,2385.31927,708.5485,8.29808,13347.81971
139278,30015.26746,708.5485,8.29808,23351.87187
138700,3147.29626,708.5485,8.29808,19662.67225
103932,1689.60115,708.5485,8.29808,19925.42236
140435,132.51774,708.5485,8.29808,22057.62837
134656,1822.11889,708.5485,8.29808,28400.6851
135814,18685.00094,708.5485,8.29808,29448.89679
133457,27530.55989,708.5485,8.29808,1121.97201
156040,430.68265,708.5485,8.29808,15780.65705
103930,430.68265,708.5485,8.29808,23423.6786
127271,10601.41897,708.5485,8.29808,23428.93413
161279,5764.52156,708.5485,8.29808,18468.16905
124580,5234.45062,708.5485,8.29808,5356.63218
125696,66.25887,708.5485,8.29808,17620.22265
148845,22594.27418,708.5485,8.29808,15462.26316
105648,3975.53211,708.5485,8.29808,28032.63938
142659,430.68265,708.5485,8.29808,26211.52546
161776,7354.73441,708.5485,8.29808,19241.21415
139852,4273.69702,708.5485,8.29808,14896.24492
128893,12787.96163,708.5485,8.29808,29022.25156
149880,1093.27133,708.5485,8.29808,15825.75658
161280,4836.8974,708.5485,8.29808,19297.98469
135801,5333.83892,708.5485,8.29808,22872.48025
136934,927.62416,708.5485,8.29808,4408.87709
161782,1855.24832,708.5485,8.29808,26919.10386
128324,66.25887,708.5485,8.29808,21208.06829
127790,2716.61361,708.5485,8.29808,16067.34272
139850,13649.32692,708.5485,8.29808,13494.43417
135236,27199.26555,708.5485,8.29808,25355.38591
87121,927.62416,708.5485,8.29808,16348.01333
151931,1292.04794,708.5485,8.29808,14609.01094
139268,12887.34994,708.5485,8.29808,18257.86554
96933,3114.16682,708.5485,8.29808,2015.19914
124614,6460.23968,708.5485,8.29808,24059.76415
127270,33.12943,708.5485,8.29808,26041.6907
159845,2120.28379,708.5485,8.29808,18428.73249
143738,662.58869,708.5485,8.29808,14850.16349
146833,132.51774,708.5485,8.29808,6524.15002
93327,5333.83892,708.5485,8.29808,5811.967
149362,14742.59826,708.5485,8.29808,18403.07861
96330,47242.57329,708.5485,8.29808,5462.28745
139264,463.81208,708.5485,8.29808,15143.7224
149885,2584.09587,708.5485,8.29808,8394.11447
139861,25178.37006,708.5485,8.29808,29683.9427
147338,1358.30681,708.5485,8.29808,7894.93918
99270,132.51774,708.5485,8.29808,2719.7373
125672,11297.13709,708.5485,8.29808,16809.64743
128328,8746.17065,708.5485,8.29808,13852.65294
139874,231.90604,708.5485,8.29808,25556.58681
