t,plant_id,wind_cf
1,101213,0.0
1,105903,0.0
1,132274,0.545
1,132853,0.155
1,132854,0.0302
1,136900,0.4424
1,136901,0.7715
1,137447,0.328
1,138033,0.5894
1,138046,0.872
1,138047,0.872
1,138048,0.7036
1,138049,0.872
1,138053,0.4146
1,138624,0.556
1,138625,0.827
1,138626,0.872
1,138631,0.376
1,138633,0.4956
1,139185,0.3728
1,139195,0.872
1,139196,0.8135
1,139197,0.436
1,139761,0.692
1,139762,0.829
1,139763,0.838
1,139775,0.671
1,139778,0.8677
1,140343,0.8687
1,140913,0.872
1,152308,0.714
1,60982,0.1573
1,60983,0.2012
1,60984,0.418
1,61547,0.717
1,62116,0.2695
1,62117,0.453
1,62118,0.6313
1,62665,0.4824
1,62666,0.5737
1,62667,0.2183
1,62668,0.2216
1,63217,0.2214
1,63220,0.06335
1,63780,0.02403
1,64356,0.1761
1,64357,0.03293
1,66740,0.3604
1,67334,0.1063
1,68456,0.066
1,68495,0.251
1,68496,0.2988
1,70867,0.1263
1,71466,0.09033
1,71474,0.267
1,75099,0.1735
1,75713,0.1046
1,76298,0.04047
1,76904,0.00379
1,76905,0.2622
1,77526,0.1482
1,78162,0.0638
1,78797,0.027
1,79432,0.04495
1,80070,0.00451
1,80654,0.0767
1,80699,0.01154
1,80700,0.0
1,81335,0.02223
1,81336,0.0
1,81967,0.1022
1,81968,0.05804
1,81969,0.0
1,81970,0.1559
1,82571,0.1432
1,82575,0.00161
1,83752,0.04626
1,84343,0.00298
1,86793,0.0
1,93008,0.2379
1,93009,0.10126
1,93010,0.03384
1,93035,0.00442
1,93592,0.872
1,93595,0.1791
1,93596,0.05798
1,93597,0.00744
1,94165,0.8584
1,94167,0.10376
1,94168,0.03555
1,94169,0.0019
1,94755,0.05176
1,94756,0.01302
1,94757,0.0
1,95339,0.0383
1,95340,0.00932
1,95341,0.0
1,96501,0.2666
1,98821,0.1305
1,99419,0.0141
2,101213,0.0
2,105903,0.0
2,132274,0.533
2,132853,0.1403
2,132854,0.02275
2,136900,0.4644
2,136901,0.762
2,137447,0.715
2,138033,0.7334
2,138046,0.872
2,138047,0.8022
2,138048,0.4502
2,138049,0.737
2,138053,0.3608
2,138624,0.523
2,138625,0.7197
2,138626,0.8647
2,138631,0.337
2,138633,0.4148
2,139185,0.5205
2,139195,0.872
2,139196,0.7837
2,139197,0.3289
2,139761,0.7554
2,139762,0.825
2,139763,0.835
2,139775,0.656
2,139778,0.867
2,140343,0.868
2,140913,0.872
2,152308,0.7295
2,60982,0.1832
2,60983,0.2825
2,60984,0.4907
2,61547,0.8105
2,62116,0.321
2,62117,0.559
2,62118,0.6626
2,62665,0.6274
2,62666,0.582
2,62667,0.2463
2,62668,0.29
2,63217,0.2485
2,63220,0.1279
2,63780,0.05026
2,64356,0.252
2,64357,0.0335
2,66740,0.385
2,67334,0.134
2,68456,0.174
2,68495,0.2937
2,68496,0.3486
2,70867,0.1537
2,71466,0.1142
2,71474,0.2598
2,75099,0.2266
2,75713,0.1337
2,76298,0.01668
2,76904,0.01865
2,76905,0.1798
2,77526,0.1109
2,78162,0.05936
2,78797,0.01721
2,79432,0.01096
2,80070,0.00604
2,80654,0.02344
2,80699,0.01923
2,80700,0.0
2,81335,0.01224
2,81336,0.00041
2,81967,0.1064
2,81968,0.05884
2,81969,0.0
2,81970,0.1422
2,82571,0.1504
2,82575,1e-05
2,83752,0.02414
2,84343,0.0
2,86793,0.0
2,93008,0.2988
2,93009,0.1185
2,93010,0.0386
2,93035,0.00636
2,93592,0.872
2,93595,0.2605
2,93596,0.0668
2,93597,0.02534
2,94165,0.8716
2,94167,0.188
2,94168,0.0731
2,94169,0.0271
2,94755,0.1323
2,94756,0.0795
2,94757,0.059
2,95339,0.08276
2,95340,0.06226
2,95341,0.0563
