generator,a,b,c,costsd,costst,ru,rd,ut,dt,sd,su,pmin,pmax,u0,uini,s0,lj,fj,mincost
g1,0.0148,12.1,82,42.6,42.6,40,40,3,2,90,110,80,200,1,0,1,0,1,1144.72
g2,0.0289,12.6,49,50.6,50.6,64,64,4,2,130,140,120,320,2,0,0,0,2,1977.1599999999999
g3,0.0135,13.2,100,57.1,57.1,30,30,3,2,70,80,50,150,3,0,3,0,-1,793.75
g4,0.0127,13.9,105,47.1,47.9,104,104,5,3,240,250,250,520,1,1,0,4,0,4373.75
g5,0.0261,13.5,72,56.6,56.9,56,56,4,2,110,130,80,280,1,1,0,3,0,1319.04
g6,0.0212,15.4,29,141.5,141.5,30,30,3,2,60,80,50,150,0,0,0,0,2,852.0
g7,0.0382,14.0,32,113.5,113.5,24,24,3,2,50,60,30,120,0,1,0,3,0,486.38
g8,0.0393,13.5,40,42.6,42.6,22,22,3,2,45,55,30,110,0,0,0,0,2,480.37
g9,0.0396,15.0,25,50.6,50.6,16,16,0,0,35,45,20,80,0,0,0,0,0,340.84
g10,0.051,14.3,15,57.1,57.1,12,12,0,0,30,40,20,60,0,0,0,0,0,321.4
