generator,k,dp,s
g1,1,6.0,14.55679999999999
g1,2,6.0,14.734400000000013
g1,3,6.0,14.911999999999997
g1,4,6.0,15.089599999999981
g1,5,6.0,15.267200000000003
g1,6,6.0,15.444799999999987
g1,7,6.0,15.622400000000047
g1,8,6.0,15.799999999999955
g1,9,6.0,15.977600000000015
g1,10,6.0,16.155199999999997
g1,11,6.0,16.33279999999998
g1,12,6.0,16.510400000000043
g1,13,6.0,16.68799999999995
g1,14,6.0,16.86560000000001
g1,15,6.0,17.04320000000007
g1,16,6.0,17.22079999999998
g1,17,6.0,17.398399999999963
g1,18,6.0,17.576000000000022
g1,19,6.0,17.753600000000006
g1,20,6.0,17.93119999999999
g2,1,10.0,19.825
g2,2,10.0,20.40300000000002
g2,3,10.0,20.980999999999995
g2,4,10.0,21.559000000000015
g2,5,10.0,22.13699999999999
g2,6,10.0,22.714999999999964
g2,7,10.0,23.293000000000028
g2,8,10.0,23.871000000000002
g2,9,10.0,24.448999999999977
g2,10,10.0,25.027000000000044
g2,11,10.0,25.604999999999926
g2,12,10.0,26.182999999999993
g2,13,10.0,26.76100000000006
g2,14,10.0,27.338999999999942
g2,15,10.0,27.91700000000001
g2,16,10.0,28.495000000000072
g2,17,10.0,29.072999999999958
g2,18,10.0,29.65100000000002
g2,19,10.0,30.228999999999996
g2,20,10.0,30.80699999999997
g3,1,5.0,14.617499999999996
g3,2,5.0,14.752500000000008
g3,3,5.0,14.8875
g3,4,5.0,15.022500000000013
g3,5,5.0,15.157499999999981
g3,6,5.0,15.292500000000018
g3,7,5.0,15.427499999999963
g3,8,5.0,15.5625
g3,9,5.0,15.697500000000037
g3,10,5.0,15.832499999999982
g3,11,5.0,15.967500000000019
g3,12,5.0,16.102499999999964
g3,13,5.0,16.2375
g3,14,5.0,16.372500000000038
g3,15,5.0,16.507499999999983
g3,16,5.0,16.64250000000002
g3,17,5.0,16.777499999999964
g3,18,5.0,16.9125
g3,19,5.0,17.047500000000035
g3,20,5.0,17.182499999999983
g4,1,13.5,20.421450000000025
g4,2,13.5,20.764350000000007
g4,3,13.5,21.10724999999999
g4,4,13.5,21.45014999999997
g4,5,13.5,21.79305000000002
g4,6,13.5,22.13595000000007
g4,7,13.5,22.478849999999916
g4,8,13.5,22.821749999999966
g4,9,13.5,23.16465000000008
g4,10,13.5,23.507549999999995
g4,11,13.5,23.850449999999977
g4,12,13.5,24.193350000000027
g4,13,13.5,24.536249999999942
g4,14,13.5,24.87914999999999
g4,15,13.5,25.22205000000004
g4,16,13.5,25.56495000000009
g4,17,13.5,25.90784999999987
g4,18,13.5,26.250750000000053
g4,19,13.5,26.593649999999965
g4,20,13.5,26.936550000000015
g5,1,10.0,17.937000000000012
g5,2,10.0,18.458999999999993
g5,3,10.0,18.980999999999995
g5,4,10.0,19.50300000000002
g5,5,10.0,20.025
g5,6,10.0,20.54699999999998
g5,7,10.0,21.069000000000006
g5,8,10.0,21.590999999999987
g5,9,10.0,22.11300000000001
g5,10,10.0,22.635000000000037
g5,11,10.0,23.15699999999997
g5,12,10.0,23.678999999999995
g5,13,10.0,24.201000000000022
g5,14,10.0,24.722999999999956
g5,15,10.0,25.245000000000072
g5,16,10.0,25.767000000000007
g5,17,10.0,26.28899999999994
g5,18,10.0,26.811000000000057
g5,19,10.0,27.33299999999999
g5,20,10.0,27.854999999999926
g6,1,5.0,17.625999999999998
g6,2,5.0,17.838000000000033
g6,3,5.0,18.049999999999955
g6,4,5.0,18.262000000000036
g6,5,5.0,18.47399999999998
g6,6,5.0,18.686000000000014
g6,7,5.0,18.898000000000003
g6,8,5.0,19.109999999999992
g6,9,5.0,19.32199999999998
g6,10,5.0,19.534000000000013
g6,11,5.0,19.746000000000002
g6,12,5.0,19.95799999999999
g6,13,5.0,20.16999999999998
g6,14,5.0,20.382000000000062
g6,15,5.0,20.59399999999996
g6,16,5.0,20.80600000000004
g6,17,5.0,21.017999999999937
g6,18,5.0,21.230000000000018
g6,19,5.0,21.442000000000007
g6,20,5.0,21.653999999999996
g7,1,4.5,16.46389999999999
g7,2,4.5,16.80770000000002
g7,3,4.5,17.15149999999999
g7,4,4.5,17.495299999999993
g7,5,4.5,17.83909999999999
g7,6,4.5,18.182900000000018
g7,7,4.5,18.526699999999966
g7,8,4.5,18.870500000000042
